"id1","id2","materials_1","ObjectTypes_1","materials_2","ObjectTypes_2","element_to_change","element_changed","partition","query"
"art_001480","ceramic_011219","argila | ceràmica $ argila $ sòl | llim $ pintura | esmalt $ argila | engalba","ceràmica","argila | ceràmica $ argila | maó","ceràmica","ceràmica","maó","test_id","change ceramic for brick."
"art_001480","ceramic_011219","argila | ceràmica $ argila $ sòl | llim $ pintura | esmalt $ argila | engalba","ceràmica","argila | ceràmica $ argila | maó","ceràmica","engalba","maó","test_id","change cutout for brick."
"art_001638","art_166248, art_166267, art_010762, art_166586",,"estructura residencial | habitatge | casa $ paisatge $ paisatge natural | relleu terrestre | accident geogràfic fluvial | pantà al·luvial | delta $ element arquitectònic | element estructural | element estructural de tancat | sostre $ pintura | pintura de cavallet $ pintura $ pintura",,"estructura | edifici $ element arquitectònic | element estructural | element estructural de tancat | mur $ estructura residencial | habitatge | casa $ ruïna $ element arquitectònic | element estructural | arc $ paisatge","sostre","mur","test_id","change ceiling for wall."
"art_001955","ceramic_011219","argila | ceràmica $ sòl | terra $ pintura | esmalt","ceràmica","argila | ceràmica $ argila | maó","ceràmica","ceràmica","maó","test_id","change ceramic for brick."
"art_001955","art_001480","argila | ceràmica $ sòl | terra $ pintura | esmalt","ceràmica","argila | ceràmica $ argila $ sòl | llim $ pintura | esmalt $ argila | engalba","ceràmica","terra","llim","test_id","change earth for file."
"art_002331","ceramic_011219","argila | ceràmica $ argila $ sòl | llim $ pintura | esmalt $ argila | engalba","ceràmica","argila | ceràmica $ argila | maó","ceràmica","ceràmica","maó","test_id","change ceramic for brick."
"art_002331","ceramic_011219","argila | ceràmica $ argila $ sòl | llim $ pintura | esmalt $ argila | engalba","ceràmica","argila | ceràmica $ argila | maó","ceràmica","engalba","maó","test_id","change cutout for brick."
"art_002331","art_001955","argila | ceràmica $ argila $ sòl | llim $ pintura | esmalt $ argila | engalba","ceràmica","argila | ceràmica $ sòl | terra $ pintura | esmalt","ceràmica","llim","terra","test_id","change file for earth."
"art_002336","art_002331, art_001955, art_001480, ceramic_011219, ceramic_000048, ceramic_000110, ceramic_000217","argila | ceràmica $ pintura | esmalt $ argila | caolí","ceràmica","argila | ceràmica $ argila $ sòl | llim $ pintura | esmalt $ argila | engalba","ceràmica","caolí","ceràmica","test_id","change kaolin for ceramic."
"art_002336","art_002331, art_001480","argila | ceràmica $ pintura | esmalt $ argila | caolí","ceràmica","argila | ceràmica $ argila $ sòl | llim $ pintura | esmalt $ argila | engalba","ceràmica","caolí","engalba","test_id","change kaolin for cutout."
"art_002336","ceramic_011219","argila | ceràmica $ pintura | esmalt $ argila | caolí","ceràmica","argila | ceràmica $ argila | maó","ceràmica","caolí","maó","test_id","change kaolin for brick."
"art_002336","ceramic_011219","argila | ceràmica $ pintura | esmalt $ argila | caolí","ceràmica","argila | ceràmica $ argila | maó","ceràmica","ceràmica","maó","test_id","change ceramic for brick."
"art_002420","art_002336","argila $ argila | ceràmica $ tint $ ocre $ pintura | esmalt","ceràmica","argila | ceràmica $ pintura | esmalt $ argila | caolí","ceràmica","ceràmica","caolí","test_id","change ceramic for kaolin."
"art_002420","ceramic_011219","argila $ argila | ceràmica $ tint $ ocre $ pintura | esmalt","ceràmica","argila | ceràmica $ argila | maó","ceràmica","ceràmica","maó","test_id","change ceramic for brick."
"art_002567","art_167822, art_167825",,"paisatge natural | vegetació | conjunt de plantes natives | bosc $ pintura | pintura de cavallet $ pintura $ pintura",,"pintura | il·luminació","pintura de cavallet","il·luminació","test_id","change easel painting for lighting."
"art_002567","art_021032",,"paisatge natural | vegetació | conjunt de plantes natives | bosc $ pintura | pintura de cavallet $ pintura $ pintura",,"retrat $ pintura | pintura a l'oli","pintura de cavallet","pintura a l'oli","test_id","change easel painting for oil painting."
